IssuedYear,IssuedMonth,LoanAmt,Term,IntRate,Grade,SubGrade,EmpTitle,EmpLength,HomeStatus,AnnualInc,VerificationStatus,LoanStatus,Purpose,State,DTI,NoOfInqs,AppType,CreditHistory,FICO,DefaultStatus
2008,Mar,3000.0,36,9.76,B,B2,Lord Abbett,2,RENT,48000.0,Not Verified,Fully Paid,credit_card,NY,17.65,0,INDIVIDUAL,9,712,Good-Loan
2008,Mar,1000.0,36,7.68,A,A2,Adoption Center of Change,1,RENT,36000.0,Not Verified,Fully Paid,medical,UT,1.8,0,INDIVIDUAL,7,747,Good-Loan
2008,Mar,3600.0,36,10.71,B,B5,VSG,1,RENT,110000.0,Not Verified,Fully Paid,educational,GA,15.01,1,INDIVIDUAL,9,697,Good-Loan
2008,Mar,8000.0,36,12.92,D,D2,Department of Aging and Adult Services,10,RENT,45000.0,Not Verified,Fully Paid,debt_consolidation,CA,19.89,1,INDIVIDUAL,15,692,Good-Loan
2008,Mar,3500.0,36,11.97,C,C4,JG Resources,2,RENT,40800.0,Not Verified,Fully Paid,debt_consolidation,PA,21.97,1,INDIVIDUAL,11,687,Good-Loan
2008,Mar,4500.0,36,9.76,B,B2,Unknown,1,RENT,54300.0,Not Verified,Charged Off,debt_consolidation,MN,4.24,0,INDIVIDUAL,4,707,Defaulted-Loan
2008,Mar,500.0,36,9.76,B,B2,"Hughes, Hubbard & Reed LLP",7,MORTGAGE,59000.0,Not Verified,Fully Paid,other,NY,22.17,0,INDIVIDUAL,13,742,Good-Loan
2008,Mar,12500.0,36,14.5,E,E2,County of Santa Cruz,2,RENT,60000.0,Verified,Fully Paid,debt_consolidation,CA,21.72,0,INDIVIDUAL,24,697,Good-Loan
2008,Mar,725.0,36,7.37,A,A1,"Team Awesome Productions, Inc.",1,RENT,12000.0,Not Verified,Fully Paid,credit_card,CA,3.6,0,INDIVIDUAL,7,792,Good-Loan
2008,Mar,3300.0,36,11.97,C,C4,Pensacola Christian College,3,RENT,18000.0,Not Verified,Charged Off,credit_card,FL,17.4,3,INDIVIDUAL,3,672,Defaulted-Loan
2008,Mar,10000.0,36,13.55,D,D4,GAP,3,RENT,100000.0,Not Verified,Fully Paid,credit_card,CA,7.94,0,INDIVIDUAL,6,662,Good-Loan
2008,Mar,5000.0,36,9.76,B,B2,United Airlines,10,MORTGAGE,38000.0,Not Verified,Fully Paid,credit_card,CO,4.45,2,INDIVIDUAL,10,712,Good-Loan
2008,Mar,5000.0,36,7.68,A,A2,UPS,5,MORTGAGE,40000.0,Not Verified,Fully Paid,home_improvement,MN,11.49,0,INDIVIDUAL,19,797,Good-Loan
2008,Mar,7200.0,36,11.03,C,C1,beachcomber,1,RENT,31000.0,Not Verified,Charged Off,other,CA,14.4,0,INDIVIDUAL,11,692,Defaulted-Loan
2008,Mar,12500.0,36,14.18,E,E1,IRONWORKERS LOCAL UNION 79,10,RENT,57000.0,Not Verified,Fully Paid,credit_card,VA,24.55,0,INDIVIDUAL,8,692,Good-Loan
2008,Mar,7500.0,36,10.39,B,B4,MAC Cosmetics,3,RENT,61000.0,Not Verified,Fully Paid,debt_consolidation,CA,14.85,2,INDIVIDUAL,7,727,Good-Loan
2008,Mar,16600.0,36,14.18,E,E1,Spherion,1,RENT,65160.0,Not Verified,Fully Paid,debt_consolidation,CA,14.62,1,INDIVIDUAL,10,667,Good-Loan
