IssuedYear,IssuedMonth,LoanAmt,Term,IntRate,Grade,SubGrade,EmpTitle,EmpLength,HomeStatus,AnnualInc,VerificationStatus,LoanStatus,Purpose,State,DTI,NoOfInqs,AppType,CreditHistory,FICO,DefaultStatus
2010,Sep,10000.0,36,15.95,D,D4,dli,4,OWN,50000.0,Not Verified,Fully Paid,wedding,CA,1.51,0,INDIVIDUAL,6,677,Good-Loan
2010,Sep,21250.0,60,15.95,D,D4,Temple Inland Container,3,MORTGAGE,60000.0,Verified,Fully Paid,debt_consolidation,CA,16.92,0,INDIVIDUAL,17,702,Good-Loan
2010,Sep,10000.0,60,11.49,B,B4,Federal Aviation Administration,7,MORTGAGE,110000.0,Verified,Fully Paid,major_purchase,CA,23.69,1,INDIVIDUAL,25,732,Good-Loan
2010,Sep,7200.0,60,11.86,B,B5,Unknown,0,MORTGAGE,49000.0,Not Verified,Fully Paid,other,CA,0.0,0,INDIVIDUAL,33,782,Good-Loan
2010,Sep,2500.0,36,13.98,C,C3,CenterPoint Energy,5,RENT,60000.0,Verified,Fully Paid,other,TX,22.0,1,INDIVIDUAL,3,687,Good-Loan
2010,Sep,12000.0,60,16.82,E,E2,Winthrop University Hospital/CMA,1,OWN,50000.0,Not Verified,Fully Paid,debt_consolidation,NY,21.67,2,INDIVIDUAL,8,672,Good-Loan
2010,Sep,12000.0,36,11.86,B,B5,Hamilton Co Sheriff Dept,10,MORTGAGE,37000.0,Not Verified,Fully Paid,home_improvement,OH,12.52,0,INDIVIDUAL,11,702,Good-Loan
2010,Sep,10000.0,36,11.12,B,B3,"Shercon, inc.",3,RENT,80000.0,Verified,Fully Paid,vacation,CA,2.85,0,INDIVIDUAL,3,732,Good-Loan
2010,Sep,9600.0,60,15.21,D,D2,Keville Entgerprises,4,MORTGAGE,90000.0,Verified,Charged Off,debt_consolidation,VA,6.17,3,INDIVIDUAL,25,697,Defaulted-Loan
2010,Sep,5000.0,36,10.75,B,B2,Unknown,0,OWN,24468.0,Not Verified,Fully Paid,other,MO,18.24,0,INDIVIDUAL,14,762,Good-Loan
2010,Sep,2550.0,60,13.61,C,C2,Hitachi Data Systems,1,MORTGAGE,93600.0,Verified,Fully Paid,car,CA,20.94,1,INDIVIDUAL,22,687,Good-Loan
2010,Sep,4500.0,60,7.88,A,A5,Associated Earth Sciences,6,RENT,32000.0,Verified,Fully Paid,car,WA,13.43,0,INDIVIDUAL,23,792,Good-Loan
2010,Sep,8000.0,36,7.88,A,A5,Louisiana State University,5,MORTGAGE,70000.0,Verified,Fully Paid,debt_consolidation,LA,9.21,2,INDIVIDUAL,7,727,Good-Loan
2010,Sep,8000.0,36,7.51,A,A4,"Opnext, Inc",10,MORTGAGE,84000.0,Not Verified,Fully Paid,debt_consolidation,NJ,6.31,2,INDIVIDUAL,13,742,Good-Loan
