IssuedYear,IssuedMonth,LoanAmt,Term,IntRate,Grade,SubGrade,EmpTitle,EmpLength,HomeStatus,AnnualInc,VerificationStatus,LoanStatus,Purpose,State,DTI,NoOfInqs,AppType,CreditHistory,FICO,DefaultStatus
2009,Mar,18000.0,36,12.21,B,B5,United States Postal Service,10,RENT,52526.0,Not Verified,Fully Paid,debt_consolidation,MA,13.36,0,INDIVIDUAL,16,742,Good-Loan
2009,Mar,12000.0,36,15.05,D,D4,Universal Am-Can,1,RENT,29000.0,Not Verified,Fully Paid,small_business,MD,2.48,2,INDIVIDUAL,11,672,Good-Loan
2009,Mar,5000.0,36,9.63,A,A5,Texas Department of Information Resources,2,RENT,76344.0,Not Verified,Fully Paid,house,TX,8.63,1,INDIVIDUAL,14,722,Good-Loan
2009,Mar,12000.0,36,13.16,C,C3,Best Buy,3,RENT,55000.0,Not Verified,Fully Paid,major_purchase,CA,13.16,2,INDIVIDUAL,38,707,Good-Loan
2009,Mar,20000.0,36,12.53,C,C1,"ATC associates, inc",4,RENT,68000.0,Not Verified,Fully Paid,debt_consolidation,FL,18.23,2,INDIVIDUAL,14,732,Good-Loan
2009,Mar,11000.0,36,13.79,C,C5,Procter and Gamble,1,RENT,69996.0,Not Verified,Fully Paid,other,AR,14.8,0,INDIVIDUAL,9,687,Good-Loan
2009,Mar,8000.0,36,12.84,C,C2,Convergent Wealth Advisors,1,RENT,42000.0,Verified,Fully Paid,debt_consolidation,NY,14.2,0,INDIVIDUAL,5,717,Good-Loan
2009,Mar,8000.0,36,15.68,E,E1,"CreditCards.com, Inc.",5,MORTGAGE,80000.0,Not Verified,Fully Paid,debt_consolidation,TX,16.3,0,INDIVIDUAL,13,662,Good-Loan
2009,Mar,1600.0,36,7.68,A,A2,Restaurant Associates,2,RENT,23000.0,Verified,Fully Paid,major_purchase,PA,4.64,0,INDIVIDUAL,34,757,Good-Loan
2009,Mar,5000.0,36,9.63,A,A5,ernst young,2,RENT,95004.0,Verified,Fully Paid,credit_card,FL,15.4,2,INDIVIDUAL,9,727,Good-Loan
2009,Mar,8400.0,36,13.79,C,C5,"Carter Oil Company, Inc.",5,RENT,45000.0,Verified,Charged Off,debt_consolidation,AZ,24.75,1,INDIVIDUAL,13,697,Defaulted-Loan
2009,Mar,7500.0,36,12.53,C,C1,Fabel Designs,2,RENT,40000.0,Verified,Charged Off,small_business,UT,12.87,0,INDIVIDUAL,6,787,Defaulted-Loan
2009,Mar,8500.0,36,14.11,D,D1,RAPP Retail,1,MORTGAGE,54996.0,Not Verified,Charged Off,home_improvement,TX,1.0,0,INDIVIDUAL,4,707,Defaulted-Loan
2009,Mar,14500.0,36,14.42,D,D2,Fischer & Company,1,RENT,30000.0,Verified,Fully Paid,debt_consolidation,PA,18.04,1,INDIVIDUAL,25,697,Good-Loan
2009,Mar,10000.0,36,9.32,A,A4,"Intellitoys, LLC",1,RENT,55000.0,Verified,Fully Paid,moving,NY,0.39,1,INDIVIDUAL,13,782,Good-Loan
2009,Mar,12000.0,36,7.37,A,A1,AMG Imaging Supplies,1,MORTGAGE,50004.0,Not Verified,Fully Paid,car,FL,10.1,0,INDIVIDUAL,22,742,Good-Loan
